angle,sine,prediction,anomaly score
2017-10-17 16:52:00,0.4,0.35293826928530325,0.0
2017-10-17 16:52:00,0.4,0.36705678849971224,0.0
2017-10-17 16:52:00,0.4,0.37693975194979856,0.0
2017-10-17 16:52:00,0.4,0.383857826364859,0.0
2017-10-17 16:52:00,0.4,0.3887004784554013,0.0
2017-10-17 16:52:00,0.5,0.39209033491878087,0.0
2017-10-17 16:52:00,0.4,0.4244632344431466,0.0
2017-10-17 16:52:00,0.4,0.4171242641102026,0.0
2017-10-17 16:52:00,0.4,0.4119869848771418,0.0
2017-10-17 16:52:00,0.4,0.40839088941399926,0.0
2017-10-17 16:52:00,0.4,0.4058736225897995,0.0
2017-10-17 16:52:00,0.4,0.40411153581285963,0.0
2017-10-17 16:52:00,0.4,0.4028780750690017,0.0
2017-10-17 16:52:00,0.5,0.40201465254830115,0.0
2017-10-17 16:52:00,0.3,0.43141025678381073,0.0
2017-10-17 16:52:00,0.5,0.3919871797486675,0.0
2017-10-17 16:52:00,0.4,0.4243910258240672,0.0
2017-10-17 16:52:00,0.3,0.417073718076847,0.0
2017-10-17 16:52:00,0.4,0.3819516026537929,0.0
2017-10-17 16:52:00,0.4,0.387366121857655,0.0
2017-10-17 16:52:00,0.4,0.3911562853003585,0.0
2017-10-17 16:52:00,0.3,0.3,0.0
2017-10-17 16:52:00,0.4,0.4,0.0
2017-10-17 16:52:00,0.3,0.3,0.0
2017-10-17 16:52:00,0.4,0.353176624100616,0.0
2017-10-17 16:52:00,0.5,0.3672236368704312,0.0
2017-10-17 16:52:00,0.5,0.40705654580930184,0.0
2017-10-17 16:52:00,0.4,0.4349395820665113,0.0
2017-10-17 16:52:00,0.3,0.42445770744655786,0.0
2017-10-17 16:52:00,0.3,0.38712039521259045,0.0
2017-10-17 16:52:00,0.3,0.3609842766488133,0.0
2017-10-17 16:52:00,0.4,0.34268899365416927,0.0
2017-10-17 16:52:00,0.3,0.3598822955579185,0.0
2017-10-17 16:52:00,0.4,0.34191760689054296,0.0
2017-10-17 16:52:00,0.4,0.35934232482338,0.0
2017-10-17 16:52:00,0.4,0.371539627376366,0.0
2017-10-17 16:52:00,0.3,0.38007773916345616,0.0
2017-10-17 16:52:00,0.3,0.35605441741441934,0.0
2017-10-17 16:52:00,0.4,0.3392380921900935,0.0
2017-10-17 16:52:00,0.4,0.3574666645330654,0.0
2017-10-17 16:52:00,0.4,0.3702266651731458,0.0
2017-10-17 16:52:00,0.5,0.37915866562120204,0.0
2017-10-17 16:52:00,0.4,0.41541106593484145,0.0
2017-10-17 16:52:00,0.4,0.410787746154389,0.0
2017-10-17 16:52:00,0.4,0.4075514223080723,0.0
2017-10-17 16:52:00,0.6,0.4052859956156506,0.0
2017-10-17 16:53:00,0.4,0.4,0.0
2017-10-17 16:53:00,0.3,0.3,0.0
2017-10-17 16:53:00,0.5,0.5,0.0
2017-10-17 16:53:00,0.4,0.41081309649616804,0.0
2017-10-17 16:53:00,0.4,0.4075691675473176,0.0
